paper,screening,mean_measured_de00
matirani papir 135 g,150 dot,3.2752499999999998
matirani papir 135 g,200 dot,0.8040999999999999
matirani papir 135 g,200 line,1.487525
matirani papir 135 g,300 dot,3.4071749999999996
matirani papir 135 g,600 dot,6.458324999999999
matirani papir 135 g,stochastic,5.9485
ofsetni papir 170 g,150 dot,2.531575
ofsetni papir 170 g,200 dot,0.5845750000000001
ofsetni papir 170 g,200 line,1.580475
ofsetni papir 170 g,300 dot,8.344925
ofsetni papir 170 g,600 dot,4.869725
ofsetni papir 170 g,stochastic,5.8153
ofsetni papir 80 g,150 dot,2.8685750000000003
ofsetni papir 80 g,200 dot,1.014275
ofsetni papir 80 g,200 line,1.3613499999999998
ofsetni papir 80 g,300 dot,0.9116249999999999
ofsetni papir 80 g,600 dot,1.264075
ofsetni papir 80 g,stochastic,4.853625
teksturirani papir 300 g,150 dot,2.22635
teksturirani papir 300 g,200 dot,0.788875
teksturirani papir 300 g,200 line,1.3308000000000002
teksturirani papir 300 g,300 dot,4.003775
teksturirani papir 300 g,600 dot,4.72515
teksturirani papir 300 g,stochastic,5.758475
