paper,screening,patch,C,M,Y,K,L_t,a_t,b_t,L_m,a_m,b_m,de00
ofsetni papir 80 g,150 dot,1,0.0,0.0,0.0,0.0,93.0,12.0,1.0,92.0,89.0,0.0,0.26
ofsetni papir 80 g,150 dot,2,0.0,21.0,0.0,0.0,87.0,23.0,6.0,86.0,98.0,6.0,0.36
ofsetni papir 80 g,150 dot,3,0.0,52.0,0.0,0.0,73.0,0.0,19.0,72.0,56.0,20.0,0.48
ofsetni papir 80 g,150 dot,4,0.0,81.0,0.0,0.0,59.0,27.0,37.0,58.0,97.0,37.0,0.29
ofsetni papir 80 g,150 dot,5,0.0,100.0,0.0,0.0,49.0,42.0,54.0,49.0,23.0,54.0,0.22
ofsetni papir 80 g,150 dot,6,16.0,0.0,0.0,0.0,88.0,61.0,-2.0,88.0,22.0,-2.0,0.37
ofsetni papir 80 g,150 dot,7,16.0,21.0,0.0,0.0,83.0,6.0,3.0,82.0,59.0,3.0,0.45
ofsetni papir 80 g,150 dot,8,16.0,52.0,0.0,0.0,69.0,42.0,16.0,69.0,24.0,15.0,0.44
ofsetni papir 80 g,150 dot,9,16.0,81.0,0.0,0.0,54.0,36.0,31.0,54.0,68.0,31.0,1.02
ofsetni papir 80 g,150 dot,10,16.0,100.0,0.0,0.0,45.0,85.0,47.0,47.0,0.0,45.0,1.37
ofsetni papir 80 g,150 dot,11,39.0,0.0,0.0,0.0,81.0,7.0,-9.0,80.0,82.0,-9.0,0.43
ofsetni papir 80 g,150 dot,12,39.0,21.0,0.0,0.0,74.0,93.0,-3.0,74.0,41.0,-3.0,0.52
ofsetni papir 80 g,150 dot,13,39.0,52.0,0.0,0.0,62.0,97.0,8.0,62.0,25.0,8.0,0.75
ofsetni papir 80 g,150 dot,14,39.0,81.0,0.0,0.0,50.0,37.0,24.0,50.0,18.0,23.0,0.51
ofsetni papir 80 g,150 dot,15,39.0,100.0,0.0,0.0,42.0,54.0,38.0,85.0,30.0,-6.0,47.07
ofsetni papir 80 g,150 dot,16,64.0,0.0,0.0,0.0,70.0,44.0,-18.0,69.0,74.0,-19.0,0.58
ofsetni papir 80 g,150 dot,17,64.0,21.0,0.0,0.0,63.0,64.0,-14.0,62.0,84.0,-13.0,0.77
ofsetni papir 80 g,150 dot,18,64.0,52.0,0.0,0.0,53.0,34.0,-2.0,52.0,86.0,-3.0,0.69
ofsetni papir 80 g,150 dot,19,64.0,81.0,0.0,0.0,43.0,38.0,9.0,43.0,18.0,9.0,0.2
ofsetni papir 80 g,150 dot,20,64.0,100.0,0.0,0.0,35.0,84.0,20.0,36.0,12.0,18.0,1.08
ofsetni papir 80 g,150 dot,21,85.0,0.0,0.0,0.0,60.0,70.0,-27.0,60.0,40.0,-27.0,0.29
ofsetni papir 80 g,150 dot,22,85.0,21.0,0.0,0.0,55.0,22.0,-22.0,55.0,6.0,-22.0,0.47
ofsetni papir 80 g,150 dot,23,85.0,52.0,0.0,0.0,46.0,81.0,-11.0,46.0,28.0,-11.0,0.54
ofsetni papir 80 g,150 dot,24,85.0,81.0,0.0,0.0,37.0,79.0,0.0,38.0,59.0,-0.0,0.72
ofsetni papir 80 g,150 dot,25,85.0,100.0,0.0,0.0,32.0,38.0,8.0,31.0,89.0,8.0,0.45
ofsetni papir 80 g,150 dot,26,100.0,0.0,0.0,0.0,54.0,84.0,-32.0,54.0,78.0,-32.0,0.1
ofsetni papir 80 g,150 dot,27,100.0,21.0,0.0,0.0,48.0,92.0,-28.0,48.0,88.0,-27.0,0.46
ofsetni papir 80 g,150 dot,28,100.0,52.0,0.0,0.0,42.0,26.0,-17.0,42.0,14.0,-17.0,0.23
ofsetni papir 80 g,150 dot,29,100.0,81.0,0.0,0.0,33.0,85.0,-5.0,21.0,38.0,-1.0,21.17
ofsetni papir 80 g,150 dot,30,100.0,100.0,0.0,0.0,29.0,68.0,2.0,30.0,2.0,1.0,0.34
ofsetni papir 80 g,150 dot,31,0.0,0.0,21.0,0.0,91.0,62.0,-1.0,91.0,56.0,-1.0,0.72
ofsetni papir 80 g,150 dot,32,0.0,21.0,21.0,0.0,83.0,18.0,5.0,82.0,77.0,6.0,1.16
ofsetni papir 80 g,150 dot,33,0.0,52.0,21.0,0.0,71.0,24.0,20.0,71.0,55.0,20.0,0.43
ofsetni papir 80 g,150 dot,34,0.0,81.0,21.0,0.0,58.0,21.0,39.0,58.0,58.0,39.0,0.35
ofsetni papir 80 g,150 dot,35,0.0,100.0,21.0,0.0,48.0,8.0,55.0,48.0,94.0,54.0,0.94
ofsetni papir 80 g,150 dot,36,16.0,0.0,21.0,0.0,85.0,83.0,-4.0,85.0,55.0,-4.0,1.32
ofsetni papir 80 g,150 dot,37,16.0,21.0,21.0,0.0,73.0,65.0,1.0,73.0,47.0,2.0,0.99
ofsetni papir 80 g,150 dot,38,16.0,52.0,21.0,0.0,62.0,59.0,14.0,63.0,14.0,14.0,0.51
ofsetni papir 80 g,150 dot,39,16.0,81.0,21.0,0.0,51.0,41.0,31.0,51.0,79.0,31.0,0.38
ofsetni papir 80 g,150 dot,40,16.0,100.0,21.0,0.0,43.0,32.0,45.0,43.0,84.0,44.0,0.52
ofsetni papir 80 g,150 dot,41,39.0,0.0,21.0,0.0,78.0,0.0,-11.0,77.0,70.0,-11.0,1.04
ofsetni papir 80 g,150 dot,42,39.0,21.0,21.0,0.0,66.0,53.0,-3.0,66.0,66.0,-3.0,0.54
ofsetni papir 80 g,150 dot,43,39.0,52.0,21.0,0.0,55.0,99.0,8.0,92.0,46.0,0.0,28.73
ofsetni papir 80 g,150 dot,44,39.0,81.0,21.0,0.0,45.0,18.0,21.0,45.0,55.0,21.0,0.49
ofsetni papir 80 g,150 dot,45,39.0,100.0,21.0,0.0,38.0,87.0,34.0,39.0,45.0,32.0,0.75
ofsetni papir 80 g,150 dot,46,64.0,0.0,21.0,0.0,66.0,18.0,-23.0,66.0,11.0,-23.0,0.97
ofsetni papir 80 g,150 dot,47,64.0,21.0,21.0,0.0,57.0,5.0,-14.0,57.0,30.0,-13.0,0.55
ofsetni papir 80 g,150 dot,48,64.0,52.0,21.0,0.0,46.0,83.0,-1.0,47.0,19.0,-1.0,0.4
ofsetni papir 80 g,150 dot,49,64.0,81.0,21.0,0.0,38.0,90.0,11.0,38.0,13.0,10.0,1.21
ofsetni papir 80 g,150 dot,50,64.0,100.0,21.0,0.0,33.0,42.0,19.0,33.0,59.0,18.0,1.02
ofsetni papir 80 g,150 dot,51,85.0,0.0,21.0,0.0,58.0,6.0,-32.0,58.0,14.0,-31.0,0.63
